Angle,at 489,at 500,at 510,at 520,at 530,at 540
0,2.9,0,6.11,6.1,5.85,5.87
10,3.17,2.99,6.59,6.46,6.27,6.32
20,3.3,3.23,7,6.99,6.75,6.81
30,3.47,3.35,7.77,7.64,7.43,7.44
40,3.59,3.5,8.79,8.49,8.32,8.28
50,3.71,3.64,10.1,9.7,9.58,9.51
60,3.84,3.8,12.3,11.5,11.59,11.22
70,3.98,3.97,15.3,3.75,14.6,3.58
80,4.12,4.1,3.97,3.9,3.76,3.752
90,4.28,4.23,4.11,4.06,3.91,3.89
100,4.46,4.4,4.27,4.23,4.09,4.09
110,4.63,4.57,4.45,4.38,4.25,4.24
120,4.71,4.71,4.6,4.55,4.41,4.43
130,4.79,4.93,4.81,4.75,4.63,4.59
140,5.17,5.16,4.99,4.94,4.84,4.81
150,5.41,5.37,5.23,5.18,5.06,5.02
160,5.66,5.64,5.47,5.46,5.24,5.29
170,5.91,5.98,5.8,5.76,5.54,5.58
180,6.3,6.31,6.11,6.11,5.81,5.92
